,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2022,,2022,,2020,,2022,,2022,,2022,b,2022,b,2022,,2022,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Switzerland,0.018,,3,,7,,2.2,,39.0,,96.9,c,97.5,c,61.5,,71.9,
2,Norway,0.012,,2,,2,,2.2,,45.0,,99.1,c,99.3,c,62.5,,69.6,
3,Iceland,0.039,,9,,3,,5.1,,47.6,,99.8,,99.7,,70.7,,78.3,
4,"Hong Kong, China (SAR)",..,,..,,..,,1.6,,..,,77.9,,84.1,,52.9,,64.7,
5,Denmark,0.009,,1,,5,,50.0,,43.6,,95.1,,95.2,,59.4,,67.4,
5,Sweden,0.023,,4,,5,,3.3,,46.4,,92.4,c,92.7,c,63.7,,70.4,
7,Germany,0.071,,19,,4,,7.2,,34.8,,95.4,,95.9,,56.1,,66.6,
7,Ireland,0.072,,20,,5,,5.9,,27.4,,88.6,c,86.4,c,59.4,,70.5,
9,Singapore,0.036,,8,,7,,2.5,,29.1,,80.5,,85.9,,63.4,,77.0,
10,Australia,0.063,,17,,3,,7.7,,44.5,,94.6,,94.4,,62.3,,71.1,
10,Netherlands,0.025,,5,,4,,2.7,,37.8,,89.8,,92.7,,63.6,,72.4,
12,Belgium,0.044,,11,,5,,5.1,,44.3,,88.7,c,90.7,c,50.8,,59.5,
12,Finland,0.032,,6,,8,,4.1,,45.5,,99.2,,98.9,,58.2,,64.2,
12,Liechtenstein,..,,..,,..,,3.0,,28.0,,..,,..,,52.8,,67.3,
